"Date","Price","Open","High","Low","Change %"
"06/04/2026","99.850","100.110","100.240","99.680","-0.15%"
"06/03/2026","100.000","100.610","100.710","99.890","-1.11%"
"06/02/2026","101.120","101.190","101.470","101.000","0.72%"
"06/01/2026","100.400","100.960","101.140","100.090","-1.12%"
"05/29/2026","101.540","100.990","101.650","100.850","0.46%"
"05/28/2026","101.080","100.410","101.170","100.260","0.24%"
"05/27/2026","100.840","101.140","101.400","100.670","0.00%"
"05/26/2026","100.840","101.060","101.230","100.800","-0.49%"
"05/25/2026","101.340","100.950","101.700","100.840","1.10%"
"05/22/2026","100.240","99.800","100.430","99.700","1.08%"
"05/21/2026","99.170","99.150","99.640","98.890","-0.18%"
"05/20/2026","99.350","98.280","99.580","98.090","1.50%"
"05/19/2026","97.880","98.400","99.140","97.550","-0.17%"
"05/18/2026","98.050","97.730","98.730","97.410","-0.23%"
"05/15/2026","98.280","99.170","99.430","98.150","-1.63%"
"05/14/2026","99.910","99.530","99.970","99.200","0.84%"
"05/13/2026","99.080","99.290","99.350","98.750","-0.10%"
"05/12/2026","99.180","99.200","99.350","98.860","-0.85%"
"05/11/2026","100.030","100.390","100.550","99.920","-0.71%"
"05/08/2026","100.750","100.460","100.970","100.060","0.25%"
"05/07/2026","100.500","100.810","101.140","100.420","0.05%"
"05/06/2026","100.450","99.790","100.810","99.550","1.52%"
"05/05/2026","98.950","98.750","99.060","98.440","0.45%"
"05/04/2026","98.510","99.320","99.420","98.450","-0.96%"
"04/30/2026","99.460","98.230","99.580","98.160","0.76%"
"04/29/2026","98.710","99.030","99.090","98.520","-0.29%"
"04/28/2026","99.000","99.200","99.200","98.560","-0.36%"
"04/27/2026","99.360","99.960","100.060","99.270","-0.66%"
"04/24/2026","100.020","99.750","100.130","99.400","-0.07%"
"04/23/2026","100.090","99.640","100.790","99.500","-0.22%"
"04/22/2026","100.310","100.280","100.430","99.930","0.26%"
"04/21/2026","100.050","100.650","100.880","99.870","-0.33%"
"04/20/2026","100.380","100.100","100.460","99.900","-0.35%"
"04/17/2026","100.730","99.520","101.060","99.150","1.41%"
"04/16/2026","99.330","99.890","99.890","99.210","0.13%"
"04/15/2026","99.200","99.920","100.000","99.100","-0.46%"
"04/14/2026","99.660","99.430","99.670","98.930","0.94%"
"04/13/2026","98.730","98.760","99.300","98.410","-0.67%"
"04/10/2026","99.400","100.130","100.130","99.110","-0.59%"
"04/09/2026","99.990","100.550","100.690","99.550","-1.22%"
"04/08/2026","101.220","101.600","101.790","100.740","2.94%"
"04/07/2026","98.330","99.700","99.990","98.040","-1.40%"
"04/02/2026","99.730","99.030","99.870","98.320","-0.11%"
"04/01/2026","99.840","101.200","101.500","99.680","0.33%"
"03/31/2026","99.510","98.300","99.700","98.030","1.33%"
"03/30/2026","98.200","97.620","98.290","97.250","1.08%"
"03/27/2026","97.150","97.800","97.800","96.600","-1.17%"
"03/26/2026","98.300","99.360","99.490","98.300","-1.97%"
"03/25/2026","100.280","99.620","100.420","99.420","1.31%"
"03/24/2026","98.980","99.500","99.660","97.950","-0.13%"
"03/23/2026","99.110","97.580","100.510","96.690","0.62%"
"03/20/2026","98.500","101.040","101.050","98.350","-2.18%"
"03/19/2026","100.700","100.370","100.780","99.500","-0.18%"
"03/18/2026","100.880","101.970","102.220","100.650","-0.66%"
"03/17/2026","101.550","100.730","101.570","100.730","0.98%"
"03/16/2026","100.560","100.070","101.200","99.820","0.66%"
"03/13/2026","99.900","99.520","100.640","99.400","-0.43%"
"03/12/2026","100.330","101.190","101.330","100.070","-1.51%"
"03/11/2026","101.870","102.640","102.780","101.540","-1.24%"
"03/10/2026","103.150","103.610","103.700","102.700","0.73%"
"03/09/2026","102.400","101.580","102.420","101.070","0.14%"
"03/06/2026","102.260","102.930","103.020","102.100","-0.66%"
"03/05/2026","102.940","103.390","104.200","102.900","-1.14%"
"03/04/2026","104.130","103.370","104.130","102.950","0.78%"
"03/03/2026","103.320","104.280","104.330","103.070","-1.70%"
"03/02/2026","105.110","105.550","105.980","104.810","-0.91%"
"02/27/2026","106.070","105.650","106.110","105.500","0.31%"
"02/26/2026","105.740","105.560","105.850","105.420","0.20%"
"02/25/2026","105.530","105.510","105.570","105.300","0.10%"
"02/24/2026","105.420","105.380","105.590","105.290","0.13%"
"02/23/2026","105.280","105.280","105.360","104.860","0.11%"
"02/20/2026","105.160","104.990","105.360","104.930","0.24%"
"02/19/2026","104.910","104.620","104.910","104.560","-0.07%"
"02/18/2026","104.980","104.640","104.980","104.640","0.18%"
"02/17/2026","104.790","104.560","104.960","104.500","0.41%"
"02/16/2026","104.360","104.470","104.640","104.150","0.23%"
"02/13/2026","104.120","104.230","104.450","104.100","0.02%"
"02/12/2026","104.100","103.940","104.300","103.830","0.16%"
"02/11/2026","103.930","103.860","103.930","103.490","0.20%"
"02/10/2026","103.720","103.240","103.790","103.240","0.61%"
"02/09/2026","103.090","103.320","103.320","102.760","-0.12%"
"02/06/2026","103.210","103.460","103.570","103.170","-0.04%"
"02/05/2026","103.250","102.940","103.350","102.750","0.05%"
"02/04/2026","103.200","103.210","103.490","103.150","0.25%"
"02/03/2026","102.940","103.290","103.500","102.760","-0.46%"
"02/02/2026","103.420","103.550","103.750","103.250","-0.19%"
"01/30/2026","103.620","103.590","103.700","103.280","-0.25%"
"01/29/2026","103.880","103.820","104.040","103.550","0.05%"
"01/28/2026","103.830","104.070","104.170","103.800","-0.08%"
"01/27/2026","103.910","103.970","104.050","103.530","-0.20%"
"01/26/2026","104.120","103.760","104.250","103.540","0.61%"
"01/23/2026","103.490","103.430","103.780","103.250","0.14%"
"01/22/2026","103.350","103.230","103.540","103.100","0.34%"
"01/21/2026","103.000","103.520","103.660","102.650","-0.34%"
"01/20/2026","103.350","103.420","103.420","102.560","-0.71%"
"01/19/2026","104.090","104.440","104.570","103.940","-0.39%"
"01/16/2026","104.500","104.510","104.580","104.180","-0.09%"
"01/15/2026","104.590","103.980","104.620","103.830","0.60%"
"01/14/2026","103.970","103.700","103.970","103.540","0.36%"
"01/13/2026","103.600","103.710","103.830","103.440","-0.43%"
"01/12/2026","104.050","103.320","104.270","103.240","0.62%"
"01/09/2026","103.410","103.240","103.670","103.150","0.40%"
"01/08/2026","103.000","103.030","103.050","102.620","-0.14%"
"01/07/2026","103.140","102.950","103.650","102.930","0.51%"
"01/06/2026","102.620","101.710","102.870","101.710","0.61%"
"01/05/2026","102.000","101.480","102.030","101.450","0.53%"
"01/02/2026","101.460","102.210","102.230","101.380","-1.12%"
